,Mag,Place,Time,Type
0,2.26,"4km SW of Imperial, CA",1505947525530,earthquake
1,1.0,"7km NW of La Mesa, CA",1505937649230,quarry blast
2,2.71,"19km W of Delta, B.C., MX",1505931747440,earthquake
3,0.94,"27km SSW of Ocotillo Wells, CA",1505922423230,earthquake
4,2.21,"7km N of Delta, B.C., MX",1505911740560,earthquake
5,4.7,"51km SSW of Pijijiapan, Mexico",1505903968940,earthquake
6,4.6,"15km ESE of San Mateo del Mar, Mexico",1505878085370,earthquake
7,4.9,"4km ESE of Acatenango, Guatemala",1505875055380,earthquake
8,4.6,"15km SW of San Dionisio del Mar, Mexico",1505862694420,earthquake
9,4.9,"101km S of San Francisco del Mar, Mexico",1505855599810,earthquake
10,7.1,"1km ESE of Ayutla, Mexico",1505844878380,earthquake
11,1.76,"8km SSE of Brawley, CA",1505810653690,earthquake
12,5.4,"98km SSW of Tres Picos, Mexico",1505807597550,earthquake
13,4.9,"59km SSE of San Francisco del Mar, Mexico",1505804582940,earthquake
14,1.67,"8km SSE of Brawley, CA",1505797300060,earthquake
15,1.69,"8km SSE of Brawley, CA",1505792016930,earthquake
16,1.34,"9km SSE of Brawley, CA",1505791878570,earthquake
17,1.85,"8km SSE of Brawley, CA",1505791676460,earthquake
18,4.1,"80km SSE of San Francisco del Mar, Mexico",1505784206570,earthquake
19,1.9,"9km SSE of Brawley, CA",1505779853200,earthquake
20,1.73,"8km SSE of Brawley, CA",1505779842240,earthquake
21,4.2,"112km S of San Francisco del Mar, Mexico",1505772813110,earthquake
22,1.45,"4km WSW of Imperial, CA",1505769920400,earthquake
23,1.71,"4km SW of Imperial, CA",1505769761910,earthquake
24,2.17,"4km SW of Imperial, CA",1505769684730,earthquake
25,4.9,"101km S of San Francisco del Mar, Mexico",1505764292580,earthquake
26,3.51,"77km S of Maneadero, B.C., MX",1505759058190,earthquake
27,4.3,"59km S of Salina Cruz, Mexico",1505756979200,earthquake
28,4.1,"27km SE of San Mateo del Mar, Mexico",1505755544410,earthquake
29,4.7,"116km S of San Francisco del Mar, Mexico",1505747639290,earthquake
30,5.6,"108km S of San Francisco del Mar, Mexico",1505744352870,earthquake
31,4.9,"6km SW of San Mateo del Mar, Mexico",1505736420830,earthquake
32,1.11,"4km WSW of Imperial, CA",1505716385670,earthquake
33,4.2,"57km SSW of Paredon, Mexico",1505699409580,earthquake
